Title,URL,Published At
This Ancient Technology Is Helping Millions Stay Cool,https://www.wired.com/story/evaporative-cooling-devices-coolant-clay-matka-mitticool-india-heat-wave/,2024-07-09T15:42:42Z
India crush England to reach T20 World Cup final,https://www.bbc.com/sport/cricket/articles/clwylrqenw0o,2024-06-27T20:17:07Z
Grief and anger after India crush kills 121,https://www.bbc.com/news/articles/c6p231q5gpro,2024-07-03T09:37:32Z
India preacher denies blame for deaths in crush,https://www.bbc.com/news/articles/c2lk5q27jd4o,2024-07-04T09:28:27Z
David Lammy arrives in India for trade talks,https://www.bbc.com/news/articles/ce98l84mrmqo,2024-07-24T07:13:37Z
The tiny Indian village claiming Kamala Harris as its own,https://www.bbc.com/news/articles/c9037j47pyzo,2024-07-24T03:42:04Z
'He's picked up the big one!' - Rashid bowls Rohit,https://www.bbc.com/sport/cricket/videos/cg3m7zr1vvvo,2024-06-27T18:13:27Z
Alert issued in India after boy dies from high risk Nipah virus,https://www.bbc.com/news/articles/cj50d7e9vp6o,2024-07-21T20:42:09Z
[Removed],https://removed.com,1970-01-01T00:00:00Z
How India Can Fix Its Employment Crisis,https://hbr.org/2024/07/how-india-can-fix-its-employment-crisis,2024-07-19T14:00:00Z
Modi's Russia visit shows India isn't worried about making the US mad,https://www.businessinsider.com/modi-putin-russia-india-relationship-not-worried-us-biden-mad-2024-7,2024-07-08T08:58:46Z
How to watch India vs. England: Live stream T20 World Cup semis,https://www.businessinsider.com/guides/streaming/how-to-watch-india-vs-england-t20-world-cup-2024,2024-06-27T11:30:01Z
Elon Musk is giving India the cold shoulder and ghosting officials on Tesla investments,https://www.businessinsider.com/elon-musk-ghosts-indian-officials-tesla-investment-2024-7,2024-07-05T04:02:35Z
"Amazfit Helio Ring may launch in India soon, in time for Prime Day",https://www.androidcentral.com/wearables/amazfit-helio-ring-amazon-india-listing-spotted,2024-07-11T23:31:03Z
Apple's Expansion in India Set to Accelerate Thanks to Duty Reductions,https://www.macrumors.com/2024/07/24/apple-expansion-in-india-to-accelerate/,2024-07-24T15:25:23Z
How 1.5 million plastic bottles are turned into clothing every day,https://www.businessinsider.com/how-15-million-plastic-bottles-are-turned-into-clothing-2024-6,2024-07-03T13:09:17Z
"India wins the T20 World Cup, defeating South Africa for the cricket title",https://www.npr.org/2024/06/29/nx-s1-5023676/india-cricket-t20-world-cup-south-africa,2024-06-30T00:52:13Z
A politician in India goes on a hunger strike to demand water from an upstream state,https://www.npr.org/2024/06/26/nx-s1-5019346/a-politician-in-india-goes-on-a-hunger-strike-to-demand-water-from-an-upstream-state,2024-06-26T08:00:04Z
India Antitrust Body Finds Apple Abused Dominant Position in Apps Market,https://apple.slashdot.org/story/24/07/12/1739212/india-antitrust-body-finds-apple-abused-dominant-position-in-apps-market,2024-07-12T18:40:00Z
"Heavy rain could put a dampener on the lavish Ambani wedding, with flight delays and flooded roads in Mumbai",https://www.businessinsider.com/ambani-wedding-dampened-by-monsoon-season-in-mumbai-heavy-rain-2024-7,2024-07-12T16:33:13Z
I chose a smaller city over London when I moved to the UK. Here's why it was the right decision.,https://www.businessinsider.com/moving-to-england-nottingham-surprising-things-2024-7,2024-07-09T10:46:44Z
One of Tim Cook's big bets is paying off,https://www.businessinsider.com/apples-india-push-looks-like-its-paying-off-2024-7,2024-07-15T17:06:51Z
Marvel Re-Edits Captain America: Brave New World Trailer to Remove Presidential Assassination Attempt,https://gizmodo.com/marvel-re-edits-captain-america-brave-new-world-trailer-to-remove-presidential-assassination-attempt-2000477897,2024-07-23T17:06:30Z
Sunak's 'dismal end' and 'bland' Starmer: World media reacts to UK election,https://www.bbc.com/news/articles/c9r3q3zre9zo,2024-07-05T17:56:07Z
TikTok Lite Leaves up to 1 Billion Users With Fewer Protections,https://www.wired.com/story/tiktok-lite-global-south/,2024-07-23T04:00:00Z
Enough With the Arrogant Attitudes Towards Extreme Heat,https://www.wired.com/story/enough-with-the-arrogant-attitudes-towards-extreme-heat/,2024-07-20T12:00:00Z
Teenager murdered baby boy by shaking him to death,https://www.bbc.com/news/articles/cy68dg898pqo,2024-07-11T13:16:09Z
"Follow live: India, South Africa meet in World Cup final",https://www.espn.com/cricket/series/8604/game/1415755/,2024-06-29T14:38:58Z
"I lost my dream job in the US because I couldn't get a work visa. In Canada, the pathway has been much smoother.",https://www.businessinsider.com/work-visa-moved-usa-canada-immigrants-2024-7,2024-07-08T10:25:14Z
