#,Title,URL,Published At
0,Alec Baldwin's manslaughter case dismissed in Rust shooting,https://www.bbc.com/news/articles/cx8290qn0n5o,2024-07-12T22:02:53Z
1,What to know as Alec Baldwin's Rust shooting trial begins,https://www.bbc.com/news/articles/cz47qr0z17lo,2024-07-09T09:28:06Z
2,Rust Leaps Forward on Language Popularity Index,https://developers.slashdot.org/story/24/07/14/0159233/rust-leaps-forward-on-language-popularity-index,2024-07-14T11:34:00Z
3,FLOSS Weekly Episode 792: Rust Coreutils,https://hackaday.com/2024/07/17/floss-weekly-episode-792-rust-coreutils/,2024-07-17T18:30:28Z
4,Testimony is underway in Alec Baldwin's 'Rust' trial,https://www.npr.org/2024/07/11/nx-s1-5036262/alec-baldwin-rust-trial-involuntary-manslaughter,2024-07-11T15:21:33Z
5,Republicans could be overlooking a potentially devastating problem with JD Vance,https://www.businessinsider.com/jd-vance-rust-belt-appeal-ohio-gop-trump-senate-ryan-2024-7,2024-07-17T10:05:02Z
6,"Alec Baldwin goes on trial this week, nearly 3 years after fatal 'Rust' shooting",https://www.npr.org/2024/07/08/nx-s1-5026573/alec-baldwin-rust-trial-involuntary-manslaughter,2024-07-08T15:00:00Z
7,Judge dismisses actor Alec Baldwin's involuntary manslaughter trial,https://www.npr.org/2024/07/12/nx-s1-5038094/judge-dismisses-actor-alec-baldwins-involuntary-manslaughter-trial,2024-07-12T22:38:35Z
8,Jury to hear opening statements in Alec Baldwin's criminal trial,https://www.npr.org/2024/07/10/nx-s1-5026747/jury-to-hear-opening-statements-in-alec-baldwins-criminal-trial,2024-07-10T07:54:08Z
9,Thunderbird 128: Annual ESR Brings New Features and 'a Rust Revolution',https://tech.slashdot.org/story/24/07/14/1733229/thunderbird-128-annual-esr-brings-new-features-and-a-rust-revolution,2024-07-14T17:36:00Z
10,Behavior Inheritance in Rust,https://abadcafe.wordpress.com/2021/01/08/behavior-inheritance-in-rust/,2024-07-01T08:42:02Z
11,Common Expression Language interpreter written in Rust,https://github.com/clarkmcc/cel-rust,2024-07-12T19:19:31Z
12,J.D. Vance Is Donald Trump’s Pick for Vice President,https://www.wired.com/story/jd-vance-trump-vice-president/,2024-07-15T19:19:31Z
13,Investing in Rust,https://www.lawfaremedia.org/article/investing-in-rust,2024-07-20T16:54:46Z
14,J.D. Vance Tells RNC He’ll Be a Vice President ‘Who Never Forgets Where He Came From’,https://time.com/6999989/jd-vance-trump-vice-president-running-mate-rnc-speech/,2024-07-18T06:22:00Z
15,Using SIMD for Parallel Processing in Rust,https://nrempel.com/using-simd-for-parallel-processing-in-rust/,2024-07-01T16:29:53Z
16,I rebuilt my algorithmic trading platform in Rust. I'm filled with regret,https://medium.com/@austin-starks/i-spent-18-months-rebuilding-my-algorithmic-trading-in-rust-im-filled-with-regret-d300dcc147e0,2024-06-28T16:00:38Z
17,Playing Guitar Tablatures in Rust,https://agourlay.github.io/ruxguitar-tablature-player/,2024-07-19T16:57:11Z
18,Alec Baldwin trial paused after his lawyers accuse prosecutors of hiding evidence,https://www.businessinsider.com/alec-baldwin-trial-delayed-lawyers-accuse-prosecutors-hid-evidence-2024-7,2024-07-12T20:01:56Z
19,I Hope Rust Does Not Oxidize Everything,https://gavinhoward.com/2024/07/why-i-hope-rust-does-not-oxidize-everything/,2024-07-16T07:34:48Z
20,Rust doesn't solve the CrowdStrike outage,https://blogsystem5.substack.com/p/crowdstrike-and-rust,2024-07-23T15:34:53Z
21,Alec Baldwin 'Rust' trial: Actor's culpability disputed in opening statements,https://abcnews.go.com/US/alec-baldwin-rust-trial-opening-statements/story?id=111777285,2024-07-10T16:55:28Z
22,"Mako – fast, production-grade web bundler based on Rust",https://makojs.dev/blog/mako-open-sourced,2024-07-02T05:41:25Z
23,Sans-IO: The secret to effective Rust for network services,https://www.firezone.dev/blog/sans-io,2024-07-04T03:05:36Z
24,Orch: a Rust framework for LLM orchestration,https://github.com/guywaldman/orch,2024-07-22T07:49:05Z
25,"Alec Baldwin, who still faces civil lawsuits over the Halyna Hutchins case, says he may sue prosecutor and sheriff over criminal trial",https://www.businessinsider.com/alec-baldwin-rust-halyna-hutchins-shooting-dismissed-ongoing-civil-trials-2024-7,2024-07-18T12:53:08Z
26,Alec Baldwin trial day 3: Jury dismissed as court discusses motion to dismiss case,https://abcnews.go.com/US/alec-baldwin-trial-day-3-motion-hearing-ammunition/story?id=111883104,2024-07-12T18:31:25Z
27,Alec Baldwin's manslaughter trial gets underway with jury selection,https://abcnews.go.com/US/alec-baldwin-rust-trial-jury-selection/story?id=111615178,2024-07-09T10:08:06Z
28,Alec Baldwin trial day 2: Defense accuses investigators of rush to focus on Baldwin,https://abcnews.go.com/US/alec-baldwin-trial-rust-day-2-highlights/story?id=111847932,2024-07-11T21:06:31Z
