#,Title,URL,Published At
0,Bangladesh court scraps most job quotas after deadly unrest,https://www.bbc.com/news/articles/c6p27g628k6o,2024-07-21T09:20:40Z
1,Bangladesh Is Experiencing a 'Near-Total' Internet Shutdown Amid Student Protests,https://tech.slashdot.org/story/24/07/19/2037213/bangladesh-is-experiencing-a-near-total-internet-shutdown-amid-student-protests,2024-07-19T23:10:00Z
2,Bangladesh Looks to China for $5 Billion Loan,https://time.com/6994775/bangladesh-china-loan/,2024-07-03T07:30:00Z
3,Bangladesh imposes strict curfew with a 'shoot-on-sight-order' following deadly protests,https://www.npr.org/2024/07/20/g-s1-12498/bangladesh-curfew-deadly-protests,2024-07-20T23:28:02Z
4,Deadly unrest over job quotas grips Bangladesh,https://www.bbc.com/news/articles/cd1rzm4kjx0o,2024-07-17T00:24:22Z
5,Bangladesh students defy ban to continue protests,https://www.bbc.com/news/articles/cl4ymjrx10xo,2024-07-19T10:30:03Z
6,Bangladesh imposes curfew after dozens killed in anti-government protests,https://www.washingtonpost.com/world/2024/07/19/bangladesh-demonstrations-police-hasina/,2024-07-19T15:22:02Z
7,Bangladesh's internet blackout immobilizes its booming tech industry,https://restofworld.org/2024/bangladesh-curfew-internet-shutdown/,2024-07-20T23:47:36Z
8,The British Army has shrunk to its smallest size since the Napoleonic wars,https://www.businessinsider.com/british-army-size-smallest-since-napoleonic-wars-2024-7,2024-07-13T09:00:02Z
9,These are the major elections NPR correspondents are watching,https://www.npr.org/2024/06/30/g-s1-6338/2024-major-elections-npr-reporting,2024-06-30T10:00:00Z
10,The Morning After: The age of the retro CD player is here,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_50717b9c-41aa-4a82-b5a2-d61eeecb4816,2024-07-19T11:16:06Z
11,Elevated Tiny Home Is Designed As An Economical & Safe Solution To Bangladesh’s Flooding Problem,https://www.yankodesign.com/2024/06/28/elevated-tiny-home-is-designed-as-an-economical-safe-solution-to-bangladeshs-flooding-problem/,2024-06-28T23:30:57Z
12,Innovative And Sustainable Tiny Homes Transforming Flood-Prone Communities In Bangladesh,https://www.yankodesign.com/2024/07/10/innovative-and-sustainable-tiny-homes-transforming-flood-prone-communities-in-bangladesh/,2024-07-10T22:30:05Z
13,"Six dead as floods inundate vast swath of India, Bangladesh",https://phys.org/news/2024-07-dead-inundate-vast-swath-india.html,2024-07-03T08:10:02Z
14,Afghans celebrate reaching cricket T20 World Cup semi-finals,https://www.aljazeera.com/program/newsfeed/2024/6/25/afghans-celebrate-reaching-cricket-t20-world-cup-semi-finals,2024-06-25T13:45:06Z
15,"Bangladesh orders a nationwide shutdown of its mobile internet amid student protests that killed dozens of people to ""ensure the security of citizens"" (Daryna Antoniuk/The Record)",https://www.techmeme.com/240719/p4,2024-07-19T08:40:01Z
16,Afghanistan beat Bangladesh to reach T20 World Cup semifinal,https://www.aljazeera.com/gallery/2024/6/25/afghanistan-beat-bangladesh-to-reach-t20-world-cup-semifinal,2024-06-25T07:25:05Z
17,Violent and fatal anti-quota protests rock Bangladesh,https://www.aljazeera.com/program/newsfeed/2024/7/18/violent-and-fatal-anti-quota-protests-rock-bangladesh,2024-07-18T19:41:44Z
18,UAE jails 57 Bangladeshis over protests against own government,https://www.bbc.com/news/articles/crgk8gnpg0zo,2024-07-22T11:50:19Z
19,What’s behind the recurring unrest in Bangladesh?,https://www.aljazeera.com/program/inside-story/2024/7/21/whats-behind-the-recurring-unrest-in-bangladesh,2024-07-21T21:25:08Z
20,Bangladesh protesters issue demands amid shaky calm,https://www.aljazeera.com/news/2024/7/22/bangladesh-protesters-issue-demands-amid-shaky-calm,2024-07-22T11:49:04Z
21,"Bangladesh protest met with violence, communications cut off",https://www.aljazeera.com/program/newsfeed/2024/7/19/bangladesh-protest-met-with-violence-communications-cut-off,2024-07-19T19:06:56Z
