#,Title,URL,Published At
0,Anatomy of a VS Code Extension,https://github.com/brisktest/brisk-extension/blob/main/SPEEDRUN.md,2024-07-19T00:40:22Z
1,Copa America 2024 Soccer: Livestream Paraguay vs. Brazil From Anywhere,https://www.cnet.com/tech/services-and-software/copa-america-2024-soccer-livestream-paraguay-vs-brazil-from-anywhere/,2024-06-28T22:00:21Z
2,How to buy UFC 304 tickets: Edwards vs. Muhammad 2 prices compared,https://www.businessinsider.com/guides/tickets/how-to-buy-ufc-304-tickets,2024-07-10T21:13:51Z
3,C++ Design Patterns for Low-Latency Applications,https://hackaday.com/2024/07/13/c-design-patterns-for-low-latency-applications/,2024-07-14T02:00:53Z
4,Open Source 'Eclipse Theia IDE' Exits Beta to Challenge Visual Studio Code,https://visualstudiomagazine.com/Articles/2024/06/27/eclipse-theia-ide.aspx,2024-06-28T20:49:23Z
5,How to Watch Euro 2024: Spain vs. Germany – Livestream Soccer From Anywhere,https://www.cnet.com/tech/services-and-software/how-to-watch-euro-2024-spain-vs-germany-livestream-soccer-from-anywhere/,2024-07-05T15:15:00Z
6,Wimbledon 2024: How to Watch a Barbora Krejčíková vs. Elena Rybakina Free Tennis Livestream,https://www.cnet.com/tech/services-and-software/wimbledon-2024-how-to-watch-a-barbora-krejcikova-vs-elena-rybakina-free-tennis-livestream/,2024-07-11T13:50:04Z
7,Developing Inside a Container,https://code.visualstudio.com/docs/devcontainers/containers,2024-07-03T10:09:05Z
8,"VSCode won't start on several Mac OS versions, broken over a week",https://github.com/microsoft/vscode/issues/219901,2024-07-11T02:20:40Z
9,How to Watch Euro 2024: Czech Republic vs. Turkey – Livestream Soccer From Anywhere,https://www.cnet.com/tech/services-and-software/how-to-watch-euro-2024-czech-republic-vs-turkey-livestream-soccer-from-anywhere/,2024-06-26T17:30:00Z
10,How to Watch Euro 2024: Spain vs. Georgia -- Livestream Soccer From Anywhere,https://www.cnet.com/tech/services-and-software/how-to-watch-euro-2024-spain-vs-georgia-livestream-soccer-from-anywhere/,2024-06-30T16:00:14Z
11,How to Watch Euro 2024: Georgia vs. Portugal - Livestream Soccer From Anywhere,https://www.cnet.com/tech/services-and-software/how-to-watch-euro-2024-georgia-vs-portugal-livestream-soccer-from-anywhere/,2024-06-26T17:30:07Z
12,The Open Collaboration Tools,https://www.typefox.io/blog/open-collaboration-tools-announcement/,2024-07-15T19:12:13Z
13,Intel vs. Samsung vs. TSMC,https://semiengineering.com/intel-vs-samsung-vs-tsmc/,2024-07-20T20:29:37Z
14,Arduino PLC Keeps the Beat,https://hackaday.com/2024/07/06/arduino-plc-keeps-the-beat/,2024-07-06T17:00:16Z
15,Timezone-naive datetimes are one of the most dangerous objects in Python,https://nerderati.com/a-python-epoch-timestamp-timezone-trap/,2024-07-16T15:06:48Z
16,Marvel vs. Capcom Fighting Collection is just the start for Capcom’s retro revivals,https://www.digitaltrends.com/gaming/marvel-vs-capcom-fighting-collection-preview/,2024-07-22T15:18:45Z
17,Beat the heat with Prime Day air conditioner deals: Save up to $200 on window and portable ACs,https://www.businessinsider.com/guides/deals/prime-day-air-conditioner-deals-2024-7,2024-07-16T13:44:42Z
18,AMD MI300X vs. Nvidia H100 LLM Benchmarks,https://blog.runpod.io/amd-mi300x-vs-nvidia-h100-sxm-performance-comparison-on-mixtral-8x7b-inference/,2024-07-16T13:25:52Z
19,Exploring biphasic programming: a new approach in language design,https://rybicki.io/blog/2024/06/30/biphasic-programming.html,2024-07-02T17:20:08Z
20,Knowledge Graphs in RAG: Hype vs. Ragas Analysis,https://aiencoder.substack.com/p/graphrag-analysis-part-1-how-indexing,2024-07-09T21:00:00Z
21,Fresh programmer's editor on Linux lies Zed ahead,https://www.theregister.com/2024/07/15/zed_editor_arrives_on_linux/,2024-07-15T11:12:08Z
22,How To Make A Strong Case For Accessibility,https://www.smashingmagazine.com/2024/06/how-make-strong-case-accessibility/,2024-06-26T11:00:00Z
23,Sony’s Ancient Lawsuit vs. Cheat Device Heads in Right Direction – Sony’s Defeat,https://torrentfreak.com/sonys-ancient-lawsuit-vs-cheat-device-heads-in-right-direction-sonys-defeat-240705/,2024-07-05T18:05:08Z
24,Post-Architecture: Premature Abstraction Is the Root of All Evil,https://arendjr.nl/blog/2024/07/post-architecture-premature-abstraction-is-the-root-of-all-evil/,2024-07-18T07:49:36Z
25,Browser speed showdown: Chrome vs. Edge vs. Firefox and more,https://www.pcworld.com/article/2390201/browser-speed-2024-this-is-how-fast-chrome-firefox-edge-co.html,2024-07-11T13:00:00Z
26,My search for a great Android emulator for my new Mac took me down a rabbit hole,https://www.androidauthority.com/mac-android-emulator-3460118/,2024-07-21T12:00:23Z
27,Sans-IO: The secret to effective Rust for network services,https://www.firezone.dev/blog/sans-io,2024-07-04T03:05:36Z
