#,Title,URL,Published At
0,Nobel laureate Muhammad Yunus is sworn in as interim leader of Bangladesh,https://www.npr.org/2024/08/09/nx-s1-5068322/nobel-laureate-muhammad-yunus-is-sworn-in-as-interim-leader-of-bangladesh,2024-08-09T22:02:36Z
1,Nobel laureate Yunus arrives in Bangladesh to take over as interim leader,https://www.npr.org/2024/08/08/g-s1-15922/muhammad-yunus-bangladesh-interim-leader,2024-08-08T09:19:19Z
2,Yunus lands in Bangladesh to lead caretaker government,https://www.bbc.com/news/articles/clyg7we8xvno,2024-08-08T08:21:43Z
3,The Nobel winner tasked with leading a nation out of chaos,https://www.bbc.com/news/articles/cz73jwy8nnwo,2024-08-07T09:15:47Z
4,"Still in shock, Bangladesh dreams of change",https://www.bbc.com/news/articles/c8dpjgrr3vdo,2024-08-07T13:24:24Z
5,"Who is Muhammad Yunus, Bangladesh’s interim leader?",https://www.aljazeera.com/program/newsfeed/2024/8/7/who-is-muhammad-yunus-bangladeshs-interim-leader,2024-08-07T13:09:18Z
6,Nobel laureate Muhammad Yunus heading to Bangladesh,https://www.aljazeera.com/program/newsfeed/2024/8/7/nobel-laureate-muhammad-yunus-heading-to-bangladesh,2024-08-07T17:23:42Z
7,Bangladesh’s Noble laureate Muhammad Yunus takes oath,https://www.aljazeera.com/program/newsfeed/2024/8/8/bangladeshs-noble-laureate-muhammad-yunus-takes-oath,2024-08-08T17:48:12Z
8,Malaysia tracks down missing oil tanker which fled after collision,https://www.bbc.com/news/articles/c047jm8984mo,2024-07-21T20:52:16Z
9,Bangladesh economy under pressure amid ‘uncharted’ political turmoil,https://www.aljazeera.com/economy/2024/8/8/bangladesh-economy-under-pressure-amid-uncharted-political-turmoil,2024-08-08T02:30:11Z
10,Muhammad Yunus takes oath as head of Bangladesh’s interim government,https://www.aljazeera.com/news/2024/8/8/muhammad-yunus-takes-oath-as-head-of-bangladeshs-interim-government,2024-08-08T15:22:53Z
11,Muhammad Yunus returns to Bangladesh to lead interim government,https://www.aljazeera.com/news/2024/8/8/muhammad-yunus-returns-to-bangladesh-to-lead-interim-government,2024-08-08T09:45:37Z
12,"Big challenges ahead for Muhammad Yunus, Bangladesh’s new interim leader",https://www.aljazeera.com/features/2024/8/7/big-challenges-ahead-for-muhammad-yunus-bangladeshs-new-interim-leader,2024-08-07T18:50:31Z
13,Bangladesh parliament dissolved after PM flees country,https://www.bbc.com/news/articles/c0499xpnp1yo,2024-08-06T13:15:29Z
14,Son says Hasina will return to Bangladesh,https://www.bbc.com/news/articles/cy54l10z71lo,2024-08-10T01:07:06Z
15,Nobel winner Yunus heads home as Bangladesh prepares for interim government,https://www.aljazeera.com/news/2024/8/7/nobel-winner-yunus-heads-home-as-bangladesh-prepares-for-interim-government,2024-08-07T15:16:05Z
16,Will Yunus-led interim government bring Bangladesh out of its ‘dark era’?,https://www.aljazeera.com/news/2024/8/9/will-yunus-led-interim-government-bring-bangladesh-out-of-its-dark-era,2024-08-09T14:39:54Z
17,Yunus proposed as Bangladesh leader,https://biztoc.com/x/615d4acbe641a6c1,2024-08-06T10:50:13Z
18,Bangladesh chief justice agrees to resign amid new student protests,https://www.aljazeera.com/news/2024/8/10/bangladesh-chief-justice-agrees-to-resign-amid-new-student-protests,2024-08-10T10:44:54Z
19,U.S. men's loss to Morocco is a wake-up call before World Cup,https://www.espn.com/olympics/story/_/id/40706688/2024-olympics-us-mens-loss-wake-call-2026-world-cup,2024-08-02T18:05:53Z
20,Who's who in Bangladesh's interim government,https://economictimes.indiatimes.com/news/international/world-news/whos-who-in-bangladeshs-interim-government/articleshow/112399619.cms,2024-08-09T09:00:13Z
21,"Exclusive-Bangladesh army refused to suppress protest, sealing Hasina's fate",https://www.yahoo.com/news/exclusive-bangladesh-army-refused-suppress-020322068.html,2024-08-07T02:03:22Z
22,Bangladesh's next leader Muhammad Yunus arrives home ahead of swearing-in,https://www.cbc.ca/news/world/bangladesh-muhammad-yunus-1.7288434,2024-08-08T12:10:51Z
23,Nobel laureate Yunus arrives in Bangladesh as interim leader,https://biztoc.com/x/c4f33e52ab63d7e8,2024-08-08T14:31:13Z
24,"""New Dawn"" in Bangladesh? Nobel Peace Laureate Muhammad Yunus Sworn In as PM After Student Protests",https://www.democracynow.org/2024/8/9/bangladesh_new_govt_muhammad_yunus,2024-08-09T12:15:30Z
25,[Removed],https://removed.com,1970-01-01T00:00:00Z
26,Microsoft Warns of Unpatched Office Vulnerability Leading to Data Breaches,https://thehackernews.com/2024/08/microsoft-warns-of-unpatched-office.html,2024-08-10T05:35:00Z
27,Links 8/7/2024,https://www.nakedcapitalism.com/?p=276304,2024-08-07T10:55:34Z
28,[Removed],https://removed.com,1970-01-01T00:00:00Z
29,‘Hope Is the Oxygen of Democracy.’ Darren Walker Looks Toward the Future,https://time.com/7002908/darren-walker-leaving-ford-foundation-interview/,2024-07-25T14:59:26Z
30,Bangladesh protesters call on Nobel laureate Muhammad Yunus to lead,https://www.nbcnews.com/news/world/bangladesh-protesters-call-nobel-laureate-muhammad-yunus-lead-rcna165310,2024-08-06T11:54:01Z
31,[Removed],https://removed.com,1970-01-01T00:00:00Z
32,Muhammad Yunus: Bangladesh's 'banker to the poor',https://www.yahoo.com/news/muhammad-yunus-bangladeshs-banker-poor-071026845.html,2024-08-08T07:10:26Z
33,[Removed],https://removed.com,1970-01-01T00:00:00Z
34,[Removed],https://removed.com,1970-01-01T00:00:00Z
35,[Removed],https://removed.com,1970-01-01T00:00:00Z
36,"Update from Dhaka: As Bangladesh Overturns Authoritarian Rule, Protesters Demand Democratic Gov't",https://www.democracynow.org/2024/8/6/bangladesh,2024-08-06T12:23:52Z
